,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
195301,   5.53,   4.17,   3.58,   4.68,   5.51,   4.14,   3.49,   4.18,   3.21,   4.48,   1.40,   3.27,   2.83,   3.34,   0.37,   1.75,   3.16,   1.28,  -0.14,   1.78,   4.68,   1.03,  -0.67,  -1.44,  -1.50
195302,   3.45,   1.56,   5.97,   3.35,   1.84,   2.76,   1.51,   0.87,   1.85,   0.66,   1.74,   1.11,   0.04,   1.89,   0.20,   1.62,   1.94,   0.32,   0.09,  -0.01,   2.63,  -0.57,  -0.90,  -0.87,  -0.25
195303,  -1.35,   0.71,  -2.67,  -3.27,  -2.90,  -3.57,  -0.70,  -2.05,  -2.18,  -2.18,  -1.44,  -1.54,  -0.71,  -1.12,  -2.23,  -2.11,   0.59,  -1.00,  -0.88,  -3.65,  -3.20,  -0.06,  -0.57,  -1.65,  -1.72
195304,  -2.09,  -2.00,  -1.27,  -1.10,  -2.75,  -0.89,  -1.06,  -2.66,  -3.29,  -1.53,  -1.50,  -3.06,  -2.22,  -1.13,  -3.57,  -1.89,  -1.94,  -2.71,  -2.14,  -2.51,  -0.16,  -1.11,  -1.48,  -2.72,  -3.89
195305,   0.01,   0.81,   2.45,   1.72,   3.67,  -0.75,   0.36,   0.61,   1.42,   1.55,  -0.06,   0.65,   0.27,   0.30,   0.69,   1.91,   0.20,   0.15,   0.35,   1.87,  -0.43,   0.33,   0.13,   0.48,   1.43
195306,  -5.28,  -2.84,  -4.45,  -4.57,  -6.37,  -5.53,  -4.28,  -2.54,  -1.76,  -3.99,  -4.71,  -2.84,  -3.04,  -3.77,  -2.99,  -4.05,  -2.68,  -2.48,  -2.81,  -2.97,  -2.24,  -0.29,  -1.54,  -2.33,  -0.88
195307,   2.00,   2.10,   3.33,   0.21,  -0.39,  -0.31,   0.49,   2.12,   2.15,   2.41,   2.18,   1.25,   2.28,   1.12,   2.18,   1.08,   1.09,   1.55,   1.69,   0.49,   2.85,   1.54,   2.50,   2.76,   3.20
195308,  -7.51,  -2.22,  -6.05,  -6.74,  -5.05,  -6.99,  -3.98,  -5.39,  -5.78,  -6.16,  -6.23,  -4.74,  -5.98,  -4.97,  -6.71,  -7.06,  -3.24,  -4.32,  -4.76,  -6.23,  -4.93,  -1.70,  -2.56,  -4.88,  -5.35
195309,  -3.40,  -2.25,  -1.16,  -3.11,  -2.01,  -2.13,  -1.58,  -1.70,  -0.33,  -1.92,  -0.95,  -2.21,  -0.62,  -0.65,  -1.37,  -1.99,  -1.34,  -0.34,  -0.85,   1.15,   2.39,   1.00,   0.39,   0.33,   0.47
195310,   2.47,   3.04,   0.73,   3.88,   3.17,   3.30,   3.34,   2.29,   4.02,   5.02,   2.58,   2.78,   4.70,   5.83,   4.65,   3.23,   2.67,   4.40,   5.05,   5.83,  -0.07,   1.92,   4.94,   5.68,   5.96
195311,   0.32,   1.40,   3.05,   3.12,   3.55,   1.58,   1.67,   3.22,   1.69,   1.95,   2.07,   1.12,   2.40,   0.85,   1.65,   4.89,   1.70,   2.83,   2.78,   2.97,  -2.31,   1.61,   3.11,   4.56,   2.99
195312,  -4.81,  -2.69,  -1.36,  -0.64,  -3.57,  -4.83,  -2.15,  -1.51,  -0.53,  -1.80,  -2.45,  -2.27,  -1.30,  -0.67,  -0.72,  -1.34,  -0.58,  -0.04,  -1.66,   0.40,  -0.06,  -0.02,   0.37,  -0.10,   0.69
195401,  12.11,   7.89,   8.27,   6.75,   9.07,   7.37,   5.96,   7.14,   6.36,   8.50,   7.73,   7.50,   7.76,   6.08,   6.75,   6.45,   4.87,   5.15,   7.63,   7.74,   2.56,   4.73,   3.33,   5.95,   6.03
195402,  -0.06,  -0.17,   1.45,   0.52,   0.05,   0.86,   1.72,   0.34,   2.48,   1.56,   0.31,   1.98,   0.10,   1.84,   3.08,   3.50,   1.29,   1.72,   2.29,   2.06,   1.44,   0.77,   1.67,   2.02,   1.98
195403,   1.79,   2.43,   0.96,   3.30,   4.92,   1.86,   2.50,   1.89,   3.17,   3.61,  -0.16,   2.57,   2.34,   3.08,   2.82,   3.87,   1.69,   2.80,   4.63,   6.89,   1.48,   2.28,   4.42,   5.19,   3.55
195404,   0.23,  -1.11,   1.68,   1.66,   2.41,  -0.48,  -1.15,   1.26,   1.77,  -1.12,  -0.15,   0.98,   1.25,   2.21,   3.18,  -0.09,  -0.81,   2.46,   4.35,   3.77,   1.47,   2.71,   3.55,   7.40,   6.10
195405,   4.90,   3.62,   4.75,   4.99,   3.42,   3.51,   5.10,   4.41,   4.31,   6.71,   3.35,   3.68,   6.25,   6.14,   6.73,   4.78,   4.55,   3.31,   3.35,   4.85,   0.73,   3.26,   3.88,   2.46,   3.34
195406,   2.78,   2.10,  -0.84,   2.87,   0.18,   0.06,   0.34,   0.80,   1.03,   0.90,   0.90,   1.43,  -0.87,   1.41,   2.34,   2.78,   1.19,   2.92,   0.85,   2.09,  -0.12,   1.97,   1.11,   1.62,  -0.17
195407,  13.10,   9.03,   7.60,  11.44,   6.64,   9.25,   5.94,   5.02,   8.83,   3.50,   8.64,   5.16,   5.80,   5.97,   7.40,   6.31,   6.20,   5.00,   7.37,   7.60,   3.32,   4.24,   2.88,   3.84,   7.46
195408,  -1.04,   1.76,   1.25,   2.34,  -0.12,  -1.01,   0.51,   1.15,  -1.28,   1.09,  -3.41,  -0.97,  -0.98,  -2.09,  -0.52,  -3.10,  -1.98,  -2.75,  -1.06,  -0.23,  -1.81,  -1.59,  -2.18,  -3.38,  -2.37
195409,   2.83,   4.11,   2.39,   4.11,   5.22,   3.64,   3.39,   5.55,   3.61,   6.38,   5.83,   5.00,   4.36,   4.42,   2.93,   7.08,   4.97,   2.56,   5.69,   5.75,   2.79,   2.72,   5.56,   8.50,   9.47
195410,  -1.16,   1.71,  -0.61,   0.92,   0.51,  -2.19,  -0.03,  -1.27,  -1.52,  -1.59,  -0.72,  -0.84,  -0.90,  -0.25,   1.44,  -1.83,  -1.45,   0.07,  -0.52,   2.50,  -2.27,  -1.36,  -2.11,  -1.91,  -1.83
195411,   7.67,   7.06,  10.51,   8.46,   8.50,   9.82,  10.67,   6.87,   8.63,   9.16,   7.14,  10.92,   9.29,  10.63,  10.11,   9.30,   8.64,   8.45,  12.11,  11.64,   6.37,   5.28,   9.79,  11.73,   9.53
195412,  13.84,  11.58,  10.72,  12.22,  10.15,   9.47,   9.22,   8.42,  11.98,  10.87,   8.11,  12.47,   5.70,   8.37,   9.88,   8.51,   5.64,   5.82,   4.90,   7.72,   6.06,   2.66,   4.05,   4.56,   6.77
195501,   4.65,   1.04,   2.77,   1.00,   1.28,   1.58,   2.66,  -0.34,   2.58,   1.89,  -0.63,   0.97,   3.13,   0.06,   3.72,  -0.23,   1.01,   0.45,   1.06,   1.34,  -1.09,   0.17,   0.30,  -0.47,   1.62
195502,   6.85,   5.83,   5.42,   6.22,   5.02,   4.56,   3.19,   5.47,   4.43,   5.66,   2.48,   2.88,   4.38,   5.38,   6.17,   0.56,   2.93,   3.33,   4.91,   4.11,   0.33,   3.16,   2.64,   3.63,   2.37
195503,  -0.75,  -0.89,  -1.66,   2.03,   4.40,  -1.11,   0.96,   2.05,  -1.81,   3.19,  -1.50,   4.21,  -0.42,  -1.41,  -1.20,   2.53,  -1.82,  -0.37,  -1.16,  -0.10,   0.55,  -0.54,   0.38,   0.09,  -0.41
195504,   1.87,   3.69,   4.16,   3.30,  -1.77,   2.73,   1.97,   2.64,   1.12,   0.17,   0.00,   2.11,   1.72,   4.29,   1.55,   1.49,   3.63,   3.03,   2.34,   1.16,   3.71,   2.63,   3.27,   5.49,   2.77
195505,  -0.90,   0.31,   0.31,   1.53,   3.03,   2.14,   0.56,  -0.63,   0.86,   0.72,   2.32,   0.11,   0.05,   1.79,  -0.60,  -1.67,   1.28,   1.22,   0.21,   1.60,   0.77,   0.76,   1.62,   2.73,  -0.28
195506,   1.75,   3.46,   2.41,   4.81,   2.36,   4.45,   1.61,   4.14,   3.41,   3.14,   1.07,   3.86,   3.24,   2.91,   3.12,   0.58,   3.40,   3.88,   5.72,   3.53,   4.94,   1.66,   4.33,  11.54,   7.69
195507,   1.68,   1.90,  -0.26,  -0.40,   3.48,   0.62,   0.62,   3.18,   2.01,  -0.69,   0.86,   1.54,  -0.50,   0.93,  -0.59,   0.44,   2.37,   0.66,   0.58,  -2.36,   2.69,   1.54,   1.10,   4.39,   1.39
195508,  -1.62,  -0.22,   1.70,   1.43,  -0.24,  -0.25,   0.05,   1.21,  -0.72,   0.06,   0.01,   1.43,   1.09,   1.42,   0.19,  -2.28,   3.69,  -0.51,   0.50,   2.94,   0.91,  -1.15,   1.32,   1.26,  -0.90
195509,   1.11,  -0.11,   1.56,  -0.94,  -0.13,  -0.69,  -0.75,  -1.35,  -0.80,  -1.09,  -1.18,   0.50,  -1.08,  -0.41,  -1.63,  -0.16,  -2.33,  -1.60,  -1.96,  -2.15,  -0.98,   1.58,  -0.41,  -2.23,   1.58
195510,  -3.88,  -0.18,   0.43,  -0.21,  -0.58,  -2.19,  -0.76,  -1.57,   0.84,  -2.11,  -1.64,  -0.70,  -0.78,  -0.72,  -1.55,  -3.09,  -2.41,  -1.32,  -1.62,  -1.61,  -1.90,  -1.24,  -3.10,  -2.07,  -3.01
195511,   3.38,   2.50,   4.01,   3.86,   6.70,   6.40,   4.13,   4.84,   5.08,   4.77,   6.08,   6.28,   3.28,   4.31,   7.61,   2.87,   5.37,   5.45,   6.57,   8.35,   3.45,   3.24,   7.59,   6.73,   9.48
195512,   4.60,   2.14,   1.35,   2.35,  -0.70,   2.28,   0.87,   0.42,   2.56,   1.26,   1.39,   2.78,   1.40,   3.16,   3.37,   1.01,   0.86,   1.59,   1.69,   2.46,   0.44,   0.33,  -0.10,   2.27,   1.76
195601,   0.98,  -2.26,  -1.40,   0.98,  -0.73,  -0.87,  -1.56,  -2.51,  -1.73,  -2.45,  -3.17,  -1.68,  -2.32,  -1.76,  -4.06,  -3.41,  -1.80,  -2.04,  -2.81,  -4.76,  -0.21,  -0.94,  -2.36,  -3.19,  -3.56
195602,   2.59,   3.28,   2.94,   3.35,   3.65,   3.47,   1.27,   4.07,   2.74,   3.26,   3.83,   1.58,   3.47,   3.24,   4.86,   2.34,   4.31,   2.70,   3.03,   5.91,   3.98,   1.59,   4.84,   4.37,   4.60
195603,   2.54,   5.23,   2.91,   4.78,   3.56,   4.25,   4.85,   1.94,   5.67,   3.11,   2.69,   4.84,   5.77,   3.87,   7.53,   1.66,   6.22,   5.12,   5.42,   6.57,   0.35,   2.24,   6.89,   6.46,   8.83
195604,  -0.15,   0.57,   2.40,   0.28,  -4.70,  -1.47,  -0.55,   2.21,   0.21,   2.11,  -2.11,   0.39,   0.00,   1.39,   0.31,  -2.15,   0.39,   1.20,  -0.44,   3.19,  -0.17,  -0.70,  -0.13,  -0.63,   1.90
195605,  -5.61,  -4.49,  -1.61,  -4.45,  -3.19,  -3.67,  -4.36,  -4.80,  -4.75,  -5.05,  -2.32,  -3.98,  -3.70,  -4.00,  -3.37,  -4.08,  -4.81,  -1.88,  -2.73,  -5.00,  -3.52,  -3.60,  -5.62,  -5.61,  -5.58
195606,   0.24,   1.23,  -0.12,   1.94,   3.27,  -0.10,   1.12,   2.39,   1.63,   1.05,   1.02,   2.66,   3.18,   2.93,   3.47,   2.88,   2.71,   1.29,   1.89,   5.21,   0.58,   1.83,   2.89,   2.86,   6.55
195607,   2.56,   1.74,   3.60,   3.31,   1.08,   4.26,   2.16,   2.96,   4.29,   3.96,   3.87,   3.33,   4.58,   4.07,   3.13,   1.03,   4.40,   4.84,   5.29,   5.46,   0.93,   3.15,   4.21,   5.95,   6.07
195608,  -0.50,  -1.62,  -0.34,  -1.27,  -2.46,  -1.60,  -0.93,  -0.57,  -1.34,  -3.14,  -2.21,  -2.24,  -1.01,  -2.05,  -0.28,  -3.90,  -2.21,  -2.05,  -1.62,  -3.23,  -1.03,  -1.76,  -3.59,  -4.53,  -2.91
195609,  -3.60,  -1.97,  -2.95,  -0.77,  -2.41,  -2.42,  -1.67,  -3.37,  -1.84,  -2.24,  -3.31,  -3.47,  -2.62,  -2.62,  -4.36,  -3.39,  -5.26,  -3.61,  -3.35,  -3.78,  -4.55,  -4.16,  -5.78,  -5.42,  -5.51
195610,   0.03,   0.39,   0.94,   0.77,   1.20,   0.26,   1.09,  -1.42,   1.54,   0.12,   0.69,   0.84,   1.26,   1.56,   0.31,  -0.01,   0.58,   0.22,   1.69,   0.49,   0.56,  -0.32,   0.21,   0.29,   1.63
195611,  -0.06,   1.04,  -1.39,  -0.26,  -1.11,   2.11,  -0.09,   0.11,   0.24,  -1.34,   2.25,   1.78,   0.22,   0.85,   1.81,   0.98,  -1.10,   1.63,   0.24,   0.39,   5.08,   3.23,   1.77,   0.90,  -1.52
195612,   0.12,   0.77,  -0.26,   3.05,  -0.33,   2.79,   1.27,   2.39,   2.96,   3.07,   3.80,   1.57,   1.66,   2.76,   3.74,   1.67,   3.32,   1.32,   4.04,   3.15,   6.71,   1.40,   2.37,   4.72,   4.06
195701,   4.22,   3.63,   2.22,   1.75,   2.31,   2.22,   0.64,   2.23,   0.78,  -0.66,   0.38,   0.90,   0.75,  -1.08,  -1.09,   0.33,  -2.62,  -0.36,  -0.93,  -1.97,  -3.18,   0.59,  -3.75,  -3.99,  -6.17
195702,  -3.08,  -2.66,  -2.85,  -2.16,  -3.75,  -1.53,  -1.86,  -2.94,  -3.36,  -3.21,  -1.86,  -1.92,  -2.13,  -2.98,  -3.76,   0.74,  -3.29,  -2.23,  -1.18,  -2.68,  -1.97,  -0.93,  -2.05,  -1.34,  -2.25
195703,   0.92,   1.56,   1.79,   4.23,   1.95,   1.87,   3.00,   0.30,   1.03,   3.97,   3.34,   1.74,   2.66,   3.13,   2.44,   1.98,   2.19,   2.76,   1.12,   2.24,   3.46,   1.60,   2.16,   2.91,   2.33
195704,   3.67,   2.33,   0.78,   1.73,   1.21,   0.91,   1.27,   1.28,   3.02,   2.70,   0.97,   2.04,   2.75,   3.14,   2.93,   1.09,   2.12,   2.28,   5.04,   3.78,   2.45,   2.30,   3.96,   5.32,   6.22
195705,   1.59,   0.00,   0.40,   0.13,   0.27,   0.17,   0.40,   2.87,   1.65,   3.64,   1.19,   1.20,   3.46,   0.05,   1.91,   5.05,   0.69,   2.77,   2.49,   2.65,   2.76,   2.41,   2.94,   4.13,   5.15
195706,   0.28,  -1.06,  -0.98,  -0.75,   4.28,  -1.20,  -0.55,  -0.29,   0.27,  -0.67,  -1.00,  -1.96,  -2.73,   0.19,  -0.56,  -2.11,  -1.33,  -3.53,  -0.42,   0.31,  -1.37,  -1.51,  -2.46,  -0.94,   1.05
195707,   1.72,   0.44,   1.40,  -2.47,   0.34,  -1.20,   1.30,   0.58,   2.74,  -0.06,   0.57,   1.06,   1.22,  -0.20,  -0.04,   0.17,   0.79,   1.04,   0.19,  -0.17,  -0.23,   0.25,   1.09,   1.16,   1.39
195708,  -3.11,  -4.16,  -4.63,  -3.87,  -4.83,  -6.09,  -3.13,  -4.81,  -4.16,  -4.50,  -5.29,  -3.72,  -4.71,  -5.83,  -6.55,  -4.07,  -3.58,  -4.83,  -6.08,  -7.86,  -3.04,  -1.20,  -3.77,  -5.97,  -5.50
195709,  -4.30,  -4.73,  -4.64,  -5.28,  -5.85,  -6.65,  -3.26,  -4.75,  -5.02,  -5.95,  -3.70,  -3.12,  -5.90,  -6.63,  -7.52,  -3.48,  -2.87,  -3.32,  -7.55,  -5.61,  -5.22,  -3.30,  -2.86,  -7.24,  -6.87
195710,  -9.78,  -7.33,  -8.10,  -8.57,  -7.36,  -9.65,  -5.45,  -5.45,  -7.75,  -7.68,  -7.44,  -4.22,  -5.47,  -7.43,  -6.47,  -3.44,  -3.02,  -3.43,  -6.34,  -6.72,  -3.83,  -2.60,  -3.20,  -3.46,  -4.32
195711,   0.08,   1.12,   0.52,   1.89,  -0.52,  -1.18,   0.26,   0.51,  -0.12,   4.19,   2.66,   3.03,   4.22,   1.34,   2.14,   2.68,   3.41,   3.56,   1.64,   3.68,   2.33,   3.12,   2.40,   2.28,   2.48
195712,  -7.35,  -4.75,  -5.18,  -6.30,  -7.57, -10.42,  -4.36,  -4.92,  -7.80,  -3.93,  -4.53,  -1.68,  -4.47,  -8.31,  -5.81,  -3.72,   0.04,  -2.12,  -6.24,  -4.52,  -3.66,   0.31,  -1.16,  -5.04,  -5.17
195801,  17.84,  11.38,  13.00,  13.47,  15.97,  18.75,  10.74,   8.41,   7.41,  12.40,  11.52,  11.25,   9.62,  11.50,  11.96,  11.48,   7.91,   9.34,   9.15,   7.20,   7.80,   4.71,   3.54,   3.58,   3.41
195802,  -2.75,  -1.99,  -3.46,  -1.16,  -0.78,  -1.32,  -0.26,  -0.36,  -1.50,  -1.98,  -3.26,   1.27,   0.44,  -1.19,  -0.48,   0.36,   0.20,  -0.63,  -2.37,  -1.58,   1.25,   0.08,  -0.73,  -2.29,  -2.49
195803,   3.52,   1.23,   3.87,   6.31,   8.26,   3.91,   3.39,   3.38,   2.41,   6.12,   3.72,   2.45,   3.65,   3.45,   4.05,   6.33,   2.68,   3.48,   4.52,   4.75,   1.99,   1.95,   4.03,   3.01,   3.79
195804,   6.04,   3.16,   1.02,   3.43,   0.98,   5.10,   3.92,   3.26,   2.78,   0.12,   2.31,   2.67,   2.10,   2.23,   1.50,   3.03,   2.87,   4.65,   2.24,   1.65,   1.41,   3.20,   2.14,   3.96,   3.50
195805,   6.00,   4.62,   4.26,   0.89,   6.73,   4.59,   2.88,   4.15,   4.15,   3.91,   4.92,   3.48,   4.97,   2.61,   6.33,   3.89,   1.77,   2.35,   3.06,   4.32,   2.02,   2.44,   2.51,   2.50,   1.55
195806,   3.72,   5.57,   0.59,   4.28,   8.95,   3.04,   2.36,   0.22,   2.92,   5.64,   2.63,   2.56,   1.91,   2.34,   3.05,   2.66,   3.73,   3.27,   3.78,   2.98,   3.79,   1.89,   3.01,   2.94,   3.32
195807,   5.69,   5.68,   6.96,   5.18,   5.30,   4.54,   3.88,   4.82,   4.57,   8.35,   5.94,   3.74,   5.73,   9.38,   7.29,   3.48,   3.98,   3.58,   5.19,   8.09,   1.38,   1.36,   4.71,   6.46,   4.17
195808,   5.46,   3.79,   4.35,   1.52,  -2.14,   6.06,   1.83,   3.51,   2.66,   3.06,   2.85,   2.71,   3.40,   2.57,   3.88,   2.09,   0.87,   3.03,   4.47,   3.41,   1.27,   1.77,   0.15,   1.98,   2.02
195809,   5.78,   5.22,   8.12,   7.93,   4.62,   5.57,   4.22,   6.53,   6.18,   6.01,   5.90,   3.10,   5.36,   5.67,   5.97,   6.54,   3.73,   5.28,   3.75,   5.20,   2.03,   4.17,   3.90,   3.19,   5.98
195810,   4.76,   2.32,   0.80,   2.48,   3.30,   6.64,   2.17,   1.46,   3.84,   5.35,   1.62,   2.10,   4.58,   2.53,   4.56,   6.35,   4.64,   2.41,   2.53,   1.28,   3.00,   1.41,   2.94,   0.62,   3.44
195811,   5.42,   4.25,   3.28,   4.92,   6.34,   7.17,   3.44,   5.89,   4.61,   4.02,   4.95,   1.47,   2.84,   2.46,   5.81,   3.46,   3.72,   2.84,   6.39,   5.90,   2.90,   2.78,   3.66,   2.75,   2.55
195812,   4.21,   5.46,   3.70,   3.51,   1.00,   2.09,   4.82,   4.47,   3.65,   3.29,   2.24,   4.89,   3.26,   3.22,   2.72,   3.54,   5.18,   4.30,   5.51,   2.91,   2.93,   7.97,   4.86,   4.62,   5.86
195901,  10.89,   5.60,   2.82,   4.98,   5.65,   4.12,   5.26,   5.70,   5.57,   4.90,   5.11,   4.58,   4.48,   4.54,   2.08,   2.45,   2.80,   6.15,   1.31,   1.49,  -0.08,   2.65,   2.97,  -1.11,  -0.80
195902,   3.00,   2.35,   5.16,   2.81,   2.81,   4.25,   1.92,   2.61,   1.66,   4.69,  -0.28,   1.24,   3.17,   5.52,   4.34,  -0.37,   2.91,   1.72,   2.50,   6.65,   1.80,   3.45,   1.41,   0.14,  -0.93
195903,   2.18,   0.78,   4.15,   1.56,   1.83,   2.30,   0.51,   1.44,   0.75,   1.91,   0.09,   0.47,   0.79,  -0.66,   0.93,   0.80,   0.97,  -0.19,   2.09,   1.72,   1.77,  -0.05,   0.28,   0.44,   0.38
195904,   0.89,   4.84,   2.05,   1.70,   3.71,   4.61,   0.56,   0.95,   1.02,   3.47,   4.78,   2.01,   1.90,   2.40,   1.43,   3.74,   3.18,   2.00,   3.38,   4.76,   5.83,   3.08,   1.00,   4.38,   5.24
195905,   1.59,   2.59,  -0.06,  -0.36,  -1.66,   1.75,   0.77,  -0.20,   0.60,   1.42,   1.04,   0.21,   1.31,   1.27,   1.55,   3.04,   2.09,  -1.04,   1.61,   2.72,   7.65,   0.69,   1.79,   3.33,   2.18
195906,  -0.19,  -0.28,   0.56,  -0.33,  -3.53,   2.87,  -0.69,  -0.13,   0.36,  -0.07,   0.61,   0.43,  -0.85,   1.01,   2.95,   0.90,   1.31,  -1.09,  -0.38,   4.66,  -1.85,  -0.90,  -1.38,  -0.25,   1.24
195907,   4.20,   2.60,  -0.21,   4.11,   3.78,   3.25,   3.25,   4.82,   4.24,   2.88,   2.76,   3.86,   3.30,   4.14,   3.79,   2.18,   3.13,   2.93,   2.75,   1.14,   3.42,   1.12,   4.79,   5.76,   3.17
195908,  -1.74,  -2.90,   0.38,   0.95,   1.49,  -1.23,  -2.95,  -1.53,   0.18,  -0.69,  -3.33,  -0.82,   0.34,  -0.49,  -0.46,  -3.28,  -0.64,  -0.70,  -2.39,  -2.87,  -2.78,  -0.54,  -0.29,  -0.69,  -2.31
195909,  -6.19,  -4.83,  -2.71,  -3.67,  -3.69,  -3.49,  -5.39,  -2.58,  -5.29,  -2.35,  -2.82,  -5.16,  -4.58,  -4.42,  -3.78,  -3.98,  -4.54,  -4.66,  -5.41,  -4.49,  -4.84,  -2.81,  -4.31,  -5.45,  -4.61
195910,   0.25,   1.62,   2.38,   0.82,   3.61,   3.18,   3.39,   2.41,   0.54,   4.39,  -0.47,   0.51,   1.00,   2.97,   3.90,   3.52,   1.56,   1.30,   0.91,   5.70,   2.23,   1.50,   1.11,   0.51,   1.82
195911,   1.80,   1.02,  -0.92,  -1.46,  -0.75,   2.46,   0.95,   2.71,   4.75,   3.23,   1.83,   1.85,   0.75,  -0.24,   1.41,   1.07,   2.47,   2.15,   3.46,   2.57,   0.39,  -0.61,   3.01,   0.43,   3.19
195912,   2.82,   2.39,   0.22,   2.07,   5.34,   1.16,   1.92,   3.49,   2.46,   3.98,   2.32,   1.73,   1.11,   2.90,   3.54,   1.15,   0.23,   0.55,   1.89,   1.47,   3.70,   2.78,   3.51,   3.96,   2.10
196001,  -0.75,  -0.04,  -0.93,  -1.11,  -3.74,  -3.39,  -4.01,  -0.40,  -3.63,  -4.75,  -5.92,  -4.86,  -1.51,  -4.82,  -6.17,  -4.86,  -5.56,  -4.36,  -4.67,  -6.75,  -8.45,  -8.45,  -2.72,  -8.73,  -8.05
196002,   2.17,   0.02,  -3.23,  -0.51,   0.13,   1.22,   2.20,   0.72,  -0.38,   3.83,  -0.29,   1.54,  -0.29,  -0.22,   0.71,  -0.82,   0.62,   1.21,   2.08,   1.72,  -0.42,   0.28,   2.91,   0.03,   2.14
196003,  -2.36,  -2.94,  -2.31,  -3.21,  -3.94,  -3.64,  -3.71,  -1.22,  -3.72,  -4.75,  -5.01,  -2.84,  -0.13,  -1.92,  -3.68,  -5.32,  -3.59,  -2.05,  -0.30,  -2.43,  -3.43,  -3.11,  -0.65,  -0.67,  -0.29
196004,  -3.84,  -3.45,  -2.31,  -1.72,  -2.14,  -3.09,  -2.21,  -1.82,  -1.75,  -4.28,  -4.43,  -3.69,  -2.57,  -2.08,  -1.73,  -3.14,  -1.56,  -0.61,  -0.72,  -0.62,  -0.51,  -3.46,  -2.06,  -2.34,   1.40
196005,   0.57,  -1.01,  -0.39,  -0.23,   1.09,   2.69,   4.67,   4.77,   3.52,   2.58,  -0.14,   0.78,  -0.48,   0.85,   4.01,   0.51,   0.13,   1.19,   3.28,   4.67,  -1.49,   2.28,   1.14,   2.39,   8.39
196006,   3.33,   1.52,   2.97,   2.69,   4.45,   3.26,   1.13,   0.38,  -1.04,   2.61,   3.31,   2.77,   2.47,   1.02,   2.56,   0.84,   1.95,   4.03,   2.68,   0.44,  -0.21,   2.73,   2.09,   1.88,   3.48
196007,  -2.41,  -0.04,  -1.69,  -0.95,  -2.47,  -2.76,  -2.99,  -0.64,  -1.23,  -2.68,  -2.19,  -0.21,  -0.12,  -2.06,  -2.53,  -1.74,  -1.38,   0.62,  -0.79,  -3.20,  -1.72,  -2.22,  -3.75,  -1.31,  -2.51
196008,   6.88,   4.58,   4.41,   5.34,   9.56,   6.28,   4.06,   2.42,   2.95,   2.06,   4.29,   2.37,   6.14,   3.24,   3.24,   3.21,   3.54,   3.57,   4.64,   1.28,   4.46,   3.17,   4.12,   2.32,   2.36
196009,  -8.00,  -4.99,  -4.57,  -5.16,  -3.89,  -9.67,  -5.78,  -5.79,  -4.88,  -8.66,  -5.93,  -4.82,  -4.23,  -5.40,  -7.26,  -7.61,  -5.36,  -4.13,  -4.06,  -7.42,  -2.85,  -4.36,  -5.18,  -6.79,  -7.50
196010,  -3.18,  -1.59,  -1.05,  -1.38,  -6.63,  -4.39,  -1.67,  -3.26,  -3.25,  -4.27,  -0.02,  -3.89,  -2.51,  -1.97,  -3.05,  -1.73,  -0.72,  -0.40,  -2.10,  -2.21,   0.55,  -0.31,   1.95,   0.00,  -1.61
196011,   1.95,   2.57,  -1.09,   3.25,   1.08,   3.06,   4.35,   5.76,   2.17,   5.96,   3.65,   5.59,   3.99,   5.40,   5.99,   6.30,   4.54,   3.18,   6.10,   9.63,   2.12,   2.42,   5.42,   4.69,   6.67
196012,   1.13,   4.99,   1.31,   2.88,   6.84,   1.19,   2.79,   1.50,   5.82,   2.04,   3.51,   3.37,   3.53,   4.74,   4.30,   5.40,   4.52,   5.08,   4.03,   5.73,   3.76,   3.43,   7.27,   4.09,   5.29
196101,  10.01,   9.20,   7.84,   8.12,  13.76,   8.90,  11.25,  10.39,   8.44,   9.10,  12.71,   9.50,   7.43,   7.24,   6.85,  11.91,   8.63,   5.80,   8.33,   5.25,   8.17,   8.45,   6.35,   5.39,   4.21
196102,   6.67,   6.65,   5.29,   6.38,   6.64,   7.75,   7.90,   6.79,   7.22,   9.52,   6.23,   5.02,   5.18,   5.44,   7.51,   3.98,   4.95,   6.22,   4.62,   7.57,  -0.36,   3.28,   3.21,   1.98,   5.33
196103,   4.97,  10.52,   5.74,   6.80,  10.55,   3.95,   5.83,   5.76,   2.67,   8.48,   4.41,   2.52,   4.33,   5.19,   8.09,   4.42,   2.79,   2.60,   3.82,   6.62,   1.96,   1.33,   1.18,   3.47,   3.53
196104,   1.76,   1.41,   1.95,   0.24,   3.68,   1.85,   1.36,   1.48,   1.76,   0.26,   1.28,  -0.70,   0.20,   1.52,  -2.53,  -3.27,   0.36,   0.49,   0.64,  -0.30,   2.93,   0.37,   0.41,  -0.34,   0.45
